amccode	amcname
3	Aditya Birla Sun Life Mutual Fund
53	Axis Mutual Fund
4	Baroda Mutual Fund
59	BNP Paribas Mutual Fund
46	BOI AXA Mutual Fund
32	Canara Robeco Mutual Fund
58	PGIM India Mutual Fund
6	DSP Mutual Fund
47	Edelweiss Mutual Fund
13	Quant Mutual Fund
54	Essel Mutual Fund
27	Franklin Templeton Mutual Fund
9	HDFC Mutual Fund
37	HSBC Mutual Fund
20	ICICI Prudential Mutual Fund
57	IDBI Mutual Fund
48	IDFC Mutual Fund
62	IIFL Mutual Fund
63	Indiabulls Mutual Fund
42	Invesco Mutual Fund
70	ITI Mutual Fund
16	JM Financial Mutual Fund
17	Kotak Mahindra Mutual Fund
56	L&T Mutual Fund
18	LIC Mutual Fund
69	Mahindra Mutual Fund
45	Mirae Asset Mutual Fund
55	Motilal Oswal Mutual Fund
64	PPFAS Mutual Fund
10	Principal Mutual Fund
41	Quantum Mutual Fund
21	Nippon India Mutual Fund
35	Sahara Mutual Fund
22	SBI Mutual Fund
67	Shriram Mutual Fund
33	Sundaram Mutual Fund
25	Tata Mutual Fund
26	Taurus Mutual Fund
61	Union Mutual Fund
28	UTI Mutual Fund
71	Yes Mutual Fund
